row_id,section,heading,body,bullets,quote,attribution,notes
DP-001,objective,"Objective","Guide guests to a confident decision by clarifying what matters most, translating features into real-life outcomes, and leading a calm, trust-first Decision Point conversation before numbers.",,,,Top-of-module objective.
DP-002,objective,"Hood Ornament Moment","The Decision Point is when the guest starts to feel ownership: 'this fits my life.' Our job is to make that moment clear, calm, and easy.","Recap priorities|Confirm fit|Build value|Ask micro-commitment|Clean next step",,,Use as the module anchor framework.
DP-010,science,"2.0 The Science","Decision fatigue, fear of regret, and loss sensitivity increase at the decision stage. Clarity lowers cognitive load and builds confidence.",,,,Intro paragraph for science section.
DP-011,science,"Choice Overload","Too many options increases anxiety and delay. Limiting to 2–3 best-fit options restores clarity.","2–3 options|Simple comparisons|Ask preference",,,Tie to selection discipline.
DP-012,science,"Outcomes Beat Specs","Guests respond to outcomes more than features; translate specs into real-life benefits and feelings.","Feature→Outcome|Outcome→Feeling|Real-life scenarios",,,Core value-building habit.
DP-013,science,"Loss Aversion","Guests fear making a wrong decision; reduce perceived risk through calm language and clear next steps.","Normalize big decision|Reduce uncertainty|Clear next step",,,Use in 'I need to think' handling.
DP-014,science,"Micro-Commitments","Small yeses build momentum and confidence when done respectfully.","Fit check|If-we-could|Two-choice clarity",,,Place in scripts as standard options.
DP-020,standards,"Decision Before Numbers","Before payments, the guest should understand why it fits and what value it creates.","Why it fits|Daily outcomes|Concern solved",,,Non-negotiable standard.
DP-021,standards,"Use Their Words","Summarize priorities in the guest’s language to build trust and reduce confusion.","You said…|Because…|That’s why…",,,Observer checklist item.
DP-022,standards,"Two-Layer Value","Every key point includes feature→outcome and outcome→feeling.","Feature|Outcome|Feeling",,,Keeps presentations human and relevant.
DP-023,standards,"Clean Numbers Transition","Numbers are a service step, not a confrontation. Use permission-based language.","Would it be helpful if…|Keep it simple|Stay calm",,,Protects trust-first tone.
DP-030,scripts,"15-Second Recap","A short recap of top priorities and why they matter, in the guest’s words.","Priority 1|Priority 2|Priority 3|Because…",,,Copy/paste block.
DP-031,scripts,"3-Sentence Value Stack","Fit reason + daily outcome + concern solved.","Why it fits|What they'll feel|What it solves",,,Core script for decision point.
DP-032,scripts,"Decision Point Questions","Three respectful micro-commitment options to maintain momentum without pressure.","1–10 fit check|If-we-could|Option A vs B",,,Use based on situation.
DP-033,scripts,"I Need to Think","Validate, isolate uncertainty with one question, then simplify the next step.","Validate|Clarify|Simplify|Next step",,,Keep it human.
DP-040,roleplay,"Role-Play Focus","Practice recaps, value stacks, micro-commitments, and clean transitions under uncertainty.","Recap|Value bridges|Micro-commitments|Uncertainty isolation|Numbers transition",,,Use in manager-led huddles.
DP-050,worksheet,"Worksheet Purpose","Reinforce Decision Point clarity: priorities, value stack, decision question, and clean transition language.","Priorities|Value stack|Decision question|Transition line",,,Use after shadowing or role-play.